project_name,question,correctness,groundedness,status,latency,reference_answer,model_answer,docs_count,top_video_titles,probable_cause,notes
wwii-rag-chroma-e817958a,¿Qué factor se mencionó como la culpa de la derrota de Alemania antes del invierno ruso?,0.0,1.0,success,9.239204,,El factor mencionado como la culpa de la derrota de Alemania antes del invierno ruso fue que Hitler y su alto mando confiaron tanto en una victoria rápida que solo pidieron ropa de invierno para una quinta parte de la...,0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Cuál es la intención de Hitler en relación a Polonia?,0.5,1.0,success,13.39964,,"La intención de Hitler en relación a Polonia incluía varios aspectos. Primero, había un resentimiento hacia las pérdidas territoriales que Alemania sufrió tras la Primera Guerra Mundial, lo que lo llevó a amenazar a P...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Cuánto avanzaron las tropas alemanas en territorio ruso durante la ofensiva?,0.5,1.0,success,8.948906,,"Durante la ofensiva, las tropas alemanas avanzaron casi 320 kilómetros en territorio ruso en los primeros días de la invasión. En un momento particular, solo cuatro días después del inicio de la invasión, habían recor...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Qué planea Hitler en occidente durante la resistencia polaca?,0.5,1.0,success,8.635881,,"Durante la resistencia polaca, Hitler planea su última ofensiva en occidente, que incluye un ataque cruzando las Ardenas con diez divisiones panzer. Esto coincide con el avance de los ejércitos aliados en Francia y Bé...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Qué están haciendo los alemanes en el resto de Italia durante los ataques?,0.5,1.0,success,11.940329,,"Durante los ataques en Salerno, los alemanes se apresuran a arrebatar el control del país a los italianos. Esto les permite consolidar el control sobre el norte de Italia y prepararse para una retirada ordenada. La ca...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Qué ciudades importantes fueron capturadas por los paracaidistas alemanes durante la II Guerra Mundial?,0.5,1.0,success,7.521956,,"Durante la II Guerra Mundial, los paracaidistas alemanes capturaron ciudades importantes como Rotterdam y Oslo, así como campos de aviación clave en Stavanger. Estos puntos estratégicos facilitaron el avance y la lleg...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Qué ataque recibió la cabeza de playa de Salerno?,0.5,1.0,success,7.911666,,"La cabeza de playa de Salerno recibió ataques incesantes desde el aire y por artillería y tanques alemanes. Permaneció sitiada durante una semana, lo que permitió a los alemanes consolidar el control sobre el norte de...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-chroma-e817958a,¿Qué partido se había convertido en el más grande de Alemania en la época de Hitler?,1.0,1.0,success,7.476504,,El partido que se había convertido en el más grande de Alemania en la época de Hitler fue el Partido Nazi.,0,,ok,No obvious issue detected with the current heuristic.
wwii-rag-chroma-e817958a,¿Qué grupo juvenil se menciona en el contexto de la Alemania de Hitler?,1.0,1.0,success,8.848474,,El grupo juvenil mencionado en el contexto de la Alemania de Hitler son las Juventudes Hitlianas. Esta organización estaba diseñada para inculcar lealtad incondicional al Führer y al Partido Nazi.,0,,ok,No obvious issue detected with the current heuristic.
wwii-rag-chroma-e817958a,¿Qué ocurrió el 10 de mayo con las tropas holandesas cerca de la frontera alemana?,1.0,1.0,success,12.127036,,"El 10 de mayo, poco después del amanecer, las tropas holandesas que vigilaban un puente cerca de la frontera alemana detectaron lo que parecían ser soldados holandeses acompañando a desertores alemanes. Sin embargo, d...",0,,ok,No obvious issue detected with the current heuristic.
